1513067032    Linux 3.16.0-4-amd64 (worker1) 	12/12/17 	_x86_64_	(1 CPU) 
1513067033     
1513067033    02:23:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle 
1513067118    02:25:18     all    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96 
1513067119    02:25:19     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067120    02:25:20     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067121    02:25:21     all    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98 
1513067122    02:25:22     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067123    02:25:23     all    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513067124    02:25:24     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067125    02:25:25     all    1.02    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   96.94 
1513067126    02:25:26     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067127    02:25:27     all    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98 
1513067128    02:25:28     all    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99 
1513067129    02:25:29     all    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513067130    02:25:30     all    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99 
1513067131    02:25:31     all    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96 
1513067132    02:25:32     all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513067133    02:25:33     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067134    02:25:34     all    0.99    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   96.04 
1513067135    02:25:35     all    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   98.97 
1513067136    02:25:36     all    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00 
1513067137    02:25:37     all    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96 
1513067138    02:25:38     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067139    02:25:39     all    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96 
1513067140    02:25:40     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067141    02:25:41     all    1.01    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   96.97 
1513067142    02:25:42     all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513067143    02:25:43     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067144    02:25:44     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067145    02:25:45     all    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96 
1513067146    02:25:46     all    1.01    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   96.97 
1513067147    02:25:47     all    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067148    02:25:48     all    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513067149    02:25:49     all    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98 
1513067150    02:25:50     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067151    02:25:51     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067152    02:25:52     all    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   98.97 
1513067153    02:25:53     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067154    02:25:54     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067155    02:25:55     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067156    02:25:56     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067157    02:25:57     all    0.00    0.00    2.04    1.02    0.00    0.00    0.00    0.00    0.00   96.94 
1513067158    02:25:58     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067159    02:25:59     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067160    02:26:00     all    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96 
1513067161    02:26:01     all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513067162    02:26:02     all    2.04    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   95.92 
1513067163    02:26:03     all    0.00    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   97.94 
1513067164    02:26:04     all    2.02    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   92.93 
1513067165    02:26:05     all    2.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.94 
1513067166    02:26:06     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067167    02:26:07     all    1.96    0.00    1.96    1.96    0.00    0.00    0.00    0.00    0.00   94.12 
1513067168    02:26:08     all    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98 
1513067169    02:26:09     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067170    02:26:10     all    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   98.97 
1513067171    02:26:11     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067172    02:26:12     all    1.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.96 
1513067173    02:26:13     all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513067174    02:26:14     all    1.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.97 
1513067175    02:26:15     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067176    02:26:16     all    1.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   96.00 
1513067177    02:26:17     all    0.00    0.00    2.04    1.02    0.00    0.00    0.00    0.00    0.00   96.94 
1513067178    02:26:18     all    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03 
1513067179    02:26:19     all    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96 
1513067180    02:26:20     all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513067181    02:26:21     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067182    02:26:22     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067183    02:26:23     all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513067184    02:26:24     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067185    02:26:25     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067186    02:26:26     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067187    02:26:27     all    1.02    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   96.94 
1513067188    02:26:28     all    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00 
1513067189    02:26:29     all    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96 
1513067190    02:26:30     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067191    02:26:31     all    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98 
1513067192    02:26:32     all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513067193    02:26:33     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067194    02:26:34     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067195    02:26:35     all    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96 
1513067196    02:26:36     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067197    02:26:37     all    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98 
1513067198    02:26:38     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067199    02:26:39     all    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067200    02:26:40     all    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98 
1513067201    02:26:41     all    0.99    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   96.04 
1513067202    02:26:42     all    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   98.97 
1513067203    02:26:43     all    1.98    0.00    1.98    0.99    0.00    0.00    0.00    0.00    0.00   95.05 
